k,seed,c_v,c_npmi,c_umass,topic_diversity,mean_top20_jaccard,mean_cosine_redundancy,mean_js_distance_redundancy,n_topics_0_studies,n_topics_1_study,n_topics_lt3_studies,n_topics_lt5_studies,margin_mean,prop_conf_lt_0.40,prop_conf_0.40_0.60,prop_conf_gt_0.60,model_path
3,1,0.36839522210710013,-0.029201086420438283,-0.5279327366711996,0.9,0.05311789522315838,0.30496158202489215,0.5324469717679939,0,0,0,0,0.7078612331550892,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k03_seed01.model
3,2,0.40676059703234024,-0.02598487227968548,-0.5289525528482696,0.9166666666666666,0.05311789522315838,0.3650329311688741,0.5434086590260662,0,0,0,0,0.6392265623267535,0.0,0.18181818181818182,0.8181818181818182,models\fulltext\k03_seed02.model
3,3,0.32731712251945194,-0.05299301088799895,-0.5631853325577588,0.9,0.05311789522315838,0.2812829564015071,0.5359472772537317,0,0,0,0,0.7006840295193935,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k03_seed03.model
3,4,0.3438612167746024,-0.03767085767310984,-0.5890603263763505,0.8833333333333333,0.06211474632527264,0.3448810279369354,0.537464421493713,0,0,0,0,0.6713346298733858,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k03_seed04.model
3,5,0.2889780517627406,-0.06772062244001913,-0.5944083105928888,0.85,0.08160792371318687,0.4277891318003337,0.5385580387052686,0,0,0,0,0.6535219775268519,0.0,0.16666666666666666,0.8333333333333334,models\fulltext\k03_seed05.model
3,6,0.351722612358009,-0.03979214543108192,-0.6038197709811363,0.9166666666666666,0.04412104412104412,0.36573516329129535,0.5510331515979514,0,0,0,0,0.7085221432753315,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k03_seed06.model
3,7,0.3433380486722401,-0.035812983928525194,-0.5258583549349853,0.9,0.05263157894736842,0.38220270971457165,0.5466394415119252,0,0,0,0,0.6777174039837685,0.0,0.15151515151515152,0.8484848484848485,models\fulltext\k03_seed07.model
3,8,0.3581945108876592,-0.02798139685068063,-0.5653277846991257,0.9166666666666666,0.043634727845254156,0.3160189837217331,0.5589886138860054,0,0,0,0,0.7009387556150669,0.0,0.06060606060606061,0.9393939393939394,models\fulltext\k03_seed08.model
3,9,0.34448767873769043,-0.04577572646221362,-0.6085029616777411,0.9333333333333333,0.034637876743139895,0.3998493154843648,0.5518698686467177,0,0,0,0,0.6882566313951511,0.0,0.09090909090909091,0.9090909090909091,models\fulltext\k03_seed09.model
3,10,0.30889712440417555,-0.053312719654939146,-0.5826919110710961,0.8833333333333333,0.06516290726817042,0.36345017949740094,0.5284926271397802,0,0,0,0,0.7280663375002294,0.015151515151515152,0.10606060606060606,0.8787878787878788,models\fulltext\k03_seed10.model
3,11,0.28661006566561037,-0.07444872312003543,-0.6152219110260704,0.9,0.06211474632527264,0.3221862117449443,0.528414275778464,0,0,0,0,0.6741987309650072,0.0,0.09090909090909091,0.9090909090909091,models\fulltext\k03_seed11.model
3,12,0.40633530024757053,-0.02367289361649035,-0.5309603111110981,0.9,0.05616605616605616,0.3532341519991557,0.5419845205341278,0,0,0,0,0.689438395213253,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k03_seed12.model
3,13,0.3374399136058712,-0.04821625492285752,-0.552747038616371,0.9,0.05263157894736842,0.42859304944674176,0.5487094139725751,0,0,0,0,0.6711293877237536,0.0,0.15151515151515152,0.8484848484848485,models\fulltext\k03_seed13.model
3,14,0.3774318073375002,-0.041331216112759625,-0.6013883021481846,0.95,0.0346378767431399,0.4132932821909587,0.5495242609236748,0,0,0,0,0.6399386684429236,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k03_seed14.model
3,15,0.3363929420477096,-0.046364499081085496,-0.5568587588599171,0.9333333333333333,0.034637876743139895,0.3834596673647563,0.5457837798240984,0,0,0,0,0.7114893037518083,0.015151515151515152,0.06060606060606061,0.9242424242424242,models\fulltext\k03_seed15.model
3,16,0.28781217031031137,-0.058514603067371586,-0.6765648343504065,0.9,0.05311789522315838,0.3505558868249257,0.531576646022004,0,0,0,0,0.7084519267968972,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k03_seed16.model
3,17,0.4088117739082304,-0.02905803464591203,-0.5598512973316776,0.95,0.0346378767431399,0.3687603374322255,0.5560330326537228,0,0,0,0,0.6401821844275687,0.0,0.19696969696969696,0.803030303030303,models\fulltext\k03_seed17.model
3,18,0.32861455187493505,-0.031488149221650524,-0.5154515921708973,0.85,0.08270676691729323,0.37675578395525616,0.5339126042026461,0,0,0,0,0.6926528666737354,0.0,0.09090909090909091,0.9090909090909091,models\fulltext\k03_seed18.model
3,19,0.31423131127529846,-0.05523804296665682,-0.6322176852318551,0.85,0.08270676691729323,0.42286216219266254,0.5216737133974777,0,0,0,0,0.7562761526012378,0.0,0.045454545454545456,0.9545454545454546,models\fulltext\k03_seed19.model
4,0,0.42264419395601527,-0.025665932033238782,-0.6804780504314112,0.9,0.039604381709644865,0.3616381213068962,0.5707546584953196,0,0,0,0,0.6510840673711231,0.0,0.21212121212121213,0.7878787878787878,models\fulltext\k04_seed00.model
4,1,0.34100032039578715,-0.05731925403517257,-0.6934866614245141,0.8125,0.08211450316713474,0.33928977449735004,0.5564475456299955,0,0,0,0,0.7407826532863151,0.0,0.10606060606060606,0.8939393939393939,models\fulltext\k04_seed01.model
4,2,0.4514350424770548,-0.009194755697919003,-0.6235886483518406,0.9,0.048619469672101255,0.31573805461327237,0.5851458640540651,0,0,0,0,0.6545333236184282,0.030303030303030304,0.18181818181818182,0.7878787878787878,models\fulltext\k04_seed02.model
4,3,0.4068635530130824,-0.02467264421578985,-0.6079990038986045,0.9,0.03486279802069275,0.2802302340666453,0.5962059658549155,0,0,0,1,0.6606631341258462,0.0,0.13636363636363635,0.8636363636363636,models\fulltext\k04_seed03.model
4,4,0.3227345074656365,-0.06716555626550108,-0.7822059488907717,0.8375,0.06449948400412797,0.31055504580338794,0.563441853900107,0,0,0,0,0.5670577271544475,0.015151515151515152,0.18181818181818182,0.803030303030303,models\fulltext\k04_seed04.model
4,5,0.3618786977431447,-0.0407261103801806,-0.5966279139618175,0.875,0.048844390949654114,0.31351881970961887,0.5735997961674151,0,0,0,0,0.5844264487331009,0.0,0.2727272727272727,0.7272727272727273,models\fulltext\k04_seed05.model
4,6,0.3751121877191965,-0.03323617921317221,-0.691782088005714,0.85,0.0628644839171155,0.3868349219361941,0.5683987779048284,0,0,0,0,0.6897376017018497,0.015151515151515152,0.13636363636363635,0.8484848484848485,models\fulltext\k04_seed06.model
4,7,0.37029735362419086,-0.050007189217509,-0.6609353467186116,0.8875,0.044345965398596976,0.35611388583978015,0.5863054446711898,0,0,0,0,0.6257496050836214,0.030303030303030304,0.15151515151515152,0.8181818181818182,models\fulltext\k04_seed07.model
4,8,0.3734611957680294,-0.03264291878214559,-0.6674901890582968,0.8625,0.0538493959546591,0.31530720243851346,0.5886908304155072,0,0,0,0,0.6169793252093134,0.0,0.21212121212121213,0.7878787878787878,models\fulltext\k04_seed08.model
4,9,0.31921827699805005,-0.0645687513357695,-0.6657064590291214,0.8625,0.06498580027991793,0.353309045235316,0.557224209422181,0,0,0,0,0.6000333772043301,0.015151515151515152,0.21212121212121213,0.7727272727272727,models\fulltext\k04_seed09.model
4,10,0.31965969900328317,-0.0559086333520882,-0.6570624509409775,0.8375,0.06388198493461651,0.2930944512287776,0.5641955939813864,0,0,0,0,0.6312693584149284,0.030303030303030304,0.15151515151515152,0.8181818181818182,models\fulltext\k04_seed10.model
4,11,0.3131030194952456,-0.058460123546830896,-0.6038502895111486,0.825,0.07210449315712474,0.3096898595492045,0.5637638552193024,0,0,0,0,0.584261947681267,0.015151515151515152,0.25757575757575757,0.7272727272727273,models\fulltext\k04_seed11.model
4,12,0.35999178926476305,-0.05588260143405984,-0.6197419540407381,0.8375,0.0641454062506694,0.34204941987991333,0.5673550764967316,0,0,0,0,0.6482775090446948,0.0,0.21212121212121213,0.7878787878787878,models\fulltext\k04_seed12.model
4,13,0.35536356242260214,-0.049556350162159625,-0.5336727397687856,0.8625,0.05384939595465912,0.3583124081293742,0.5834994158015788,0,0,0,0,0.5894402471973273,0.030303030303030304,0.15151515151515152,0.8181818181818182,models\fulltext\k04_seed13.model
4,14,0.3727458636940361,-0.04601756822261039,-0.6385707043595793,0.85,0.05761632077421552,0.4023994555075963,0.5699069688052282,0,0,0,0,0.6115608265330813,0.030303030303030304,0.25757575757575757,0.7121212121212122,models\fulltext\k04_seed14.model
4,15,0.35320020296095,-0.05078272999340152,-0.6271722640992343,0.8625,0.06235790446316763,0.38596732417742413,0.5777294385948883,0,0,0,0,0.6561675833577972,0.0,0.18181818181818182,0.8181818181818182,models\fulltext\k04_seed15.model
4,16,0.2765753323665398,-0.07798439582517505,-0.6229785890164684,0.8375,0.06235790446316763,0.37006253004074097,0.5466544776723189,0,0,0,0,0.6660925486942302,0.0,0.12121212121212122,0.8787878787878788,models\fulltext\k04_seed16.model
