no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
3,0.75,10,3178,135981,2060.318181818182,1902.5,448,6573,0,0.35786554303790036,-0.0646941576487797,0.5339677422583631,0.709,0.05341068964391978,0.6,0.0
3,0.75,15,3178,135981,2060.318181818182,1902.5,448,6573,0,0.39489215662365484,-0.05037697940726123,0.516971731973868,0.6626666666666667,0.046672668216233004,3.0,0.0
3,0.8,5,3208,144529,2189.8333333333335,2028.5,497,6877,0,0.3415243965853893,-0.05232994423873096,0.6246977038266164,0.79,0.07220672446678637,0.0,0.0
3,0.8,10,3208,144529,2189.8333333333335,2028.5,497,6877,0,0.3951081916732057,-0.045643614507663646,0.5595152657022375,0.734,0.04992103002422919,0.4,0.0
3,0.8,15,3208,144529,2189.8333333333335,2028.5,497,6877,0,0.41446343055427637,-0.037366845204971126,0.5240062960216587,0.6773333333333333,0.04409164210579514,3.4,0.2
3,0.85,5,3252,160261,2428.1969696969695,2278.5,568,7408,0,0.3382701964605595,-0.02895045597840894,0.6412037886256448,0.748,0.10214734693062866,0.0,0.0
3,0.85,10,3252,160261,2428.1969696969695,2278.5,568,7408,0,0.3692580449116319,-0.027591472115535826,0.5529411104579964,0.664,0.07294411107620602,0.6,0.0
3,0.85,15,3252,160261,2428.1969696969695,2278.5,568,7408,0,0.3949608130027859,-0.025566506256070386,0.5241840041504309,0.634,0.05989237091846557,4.6,0.0
3,0.9,5,3282,175413,2657.7727272727275,2549.5,642,7863,0,0.3287399707503277,-0.025887736725434162,0.6268351523023485,0.718,0.11451248437316548,0.0,0.0
3,0.9,10,3282,175413,2657.7727272727275,2549.5,642,7863,0,0.37201968805045216,-0.014450523912217128,0.5609581017743656,0.64,0.07870344456515768,0.8,0.0
3,0.9,15,3282,175413,2657.7727272727275,2549.5,642,7863,0,0.3937830246838069,-0.006654050792031184,0.539824456085839,0.5860000000000001,0.07437263972439673,4.4,0.2
3,0.95,5,3306,190155,2881.1363636363635,2724.0,701,8913,0,0.33647833349545875,-0.017120296774840362,0.6357836705705465,0.7,0.11346789489354155,0.0,0.0
3,0.95,10,3306,190155,2881.1363636363635,2724.0,701,8913,0,0.4000893507219219,0.004160798557840475,0.5668459251082897,0.6329999999999999,0.0788932915358562,1.4,0.0
3,0.95,15,3306,190155,2881.1363636363635,2724.0,701,8913,0,0.39753589103133247,0.002300695510453507,0.5426164376861318,0.5599999999999999,0.07765399346144378,5.4,0.6
3,1.0,5,3337,231664,3510.060606060606,3234.0,946,11242,0,0.353656394195288,0.005475154642100479,0.6866079513816299,0.5599999999999999,0.2289447459979217,0.0,0.0
3,1.0,10,3337,231664,3510.060606060606,3234.0,946,11242,0,0.3564292748362845,0.005325995694268381,0.5954447577202453,0.458,0.20237275774907504,1.8,0.6
3,1.0,15,3337,231664,3510.060606060606,3234.0,946,11242,0,0.3751017481299905,0.010616037604818555,0.5759497916765912,0.44266666666666665,0.16594965157077596,4.8,1.2
4,0.5,5,2361,79920,1210.909090909091,1134.5,289,3590,0,0.3105677550750685,-0.17374511891174294,0.5643011460714707,0.8460000000000001,0.04723093249409038,0.0,0.0
4,0.5,10,2361,79920,1210.909090909091,1134.5,289,3590,0,0.3285120113352164,-0.17242823442606295,0.49238433554295524,0.758,0.04061467500063991,0.2,0.0
4,0.5,15,2361,79920,1210.909090909091,1134.5,289,3590,0,0.36515620472243293,-0.16512002294429332,0.46190363980950055,0.7006666666666665,0.034996537818298104,2.8,0.4
4,0.6,5,2476,97177,1472.378787878788,1374.5,345,4356,0,0.3498533772929856,-0.11559766495281767,0.5913211966031664,0.86,0.044652170967960446,0.0,0.0
4,0.6,10,2476,97177,1472.378787878788,1374.5,345,4356,0,0.3570918181993731,-0.12935020387195112,0.5130131937135363,0.757,0.044088931766950334,0.4,0.0
4,0.6,15,2476,97177,1472.378787878788,1374.5,345,4356,0,0.3688393045691214,-0.11539579380917572,0.4732062761464279,0.7106666666666667,0.037136275849377384,1.6,0.2
4,0.7,5,2585,119396,1809.030303030303,1649.5,401,5616,0,0.35048029718771434,-0.07072629002440325,0.6120915648789971,0.7739999999999999,0.07315789575851495,0.0,0.0
4,0.7,10,2585,119396,1809.030303030303,1649.5,401,5616,0,0.3950571182329645,-0.0655731359238908,0.5350968841125875,0.716,0.049896869463432934,0.2,0.0
