rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
24,24,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S13;S14;S15;S16;S17;S18;S19;S21;S22;S25;S61;S26;S27;S28;S30;S31;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S47;S48;S50;S64;S52;S53;S54;S55;S57;S58;S60,0.5050763054364571,0.19495910532465366,0.4237195917973527
25,25,53,S66;S70;S01;S02;S03;S05;S07;S09;S10;S11;S12;S14;S16;S17;S18;S19;S20;S21;S22;S24;S25;S27;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59;S60,0.5253018769422567,0.1041625174268074,0.40497589829566977
26,26,53,S71;S66;S70;S65;S01;S03;S06;S07;S08;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S22;S23;S24;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S42;S44;S45;S46;S62;S63;S47;S49;S51;S64;S52;S54;S55;S57;S59,0.4955845110242181,0.2804335908896296,0.466957461068415
27,27,53,S71;S66;S70;S65;S01;S02;S05;S06;S07;S09;S10;S12;S13;S14;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S27;S28;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S43;S44;S46;S62;S47;S48;S49;S51;S64;S53;S54;S55;S56;S57;S58;S60,0.48636446837754604,0.13011212827040788,0.3945233771635849
28,28,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S18;S19;S20;S22;S23;S24;S61;S26;S28;S29;S30;S33;S34;S35;S36;S38;S39;S41;S44;S45;S46;S62;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S59;S60,0.5353451919140366,0.2677314575712694,0.47777229120260445
29,29,53,S66;S70;S65;S01;S02;S03;S05;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S41;S43;S42;S44;S45;S47;S49;S51;S52;S53;S54;S55;S57;S58;S59;S60,0.5323362589945737,0.2644987572493786,0.5295001015032013
30,30,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S11;S13;S14;S15;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S38;S39;S41;S43;S42;S46;S62;S63;S47;S48;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.4886727419918897,0.2534351364875032,0.46903566600982216
31,31,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S15;S16;S17;S19;S21;S23;S24;S25;S61;S28;S29;S30;S31;S32;S33;S34;S35;S36;S40;S41;S42;S44;S45;S46;S62;S47;S48;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5218718700718391,0.22947567233973815,0.43959878511433104
32,32,53,S71;S66;S70;S65;S02;S03;S05;S06;S07;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S24;S25;S61;S27;S28;S29;S30;S31;S32;S35;S36;S38;S40;S41;S43;S42;S44;S46;S62;S63;S47;S48;S51;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.5115424263951135,0.28797596783438556,0.48264616872619537
33,33,53,S71;S70;S65;S01;S03;S05;S06;S07;S08;S09;S13;S14;S15;S16;S17;S18;S19;S20;S21;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S35;S36;S38;S39;S41;S42;S44;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S58;S59,0.49538320823974014,0.11632842307284194,0.38497463121455694
34,34,53,S71;S66;S70;S65;S01;S02;S03;S05;S07;S08;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S39;S40;S41;S42;S45;S46;S62;S63;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S59,0.5294778208563039,0.2936573507338406,0.5026039869140159
35,35,53,S71;S66;S70;S65;S01;S02;S03;S07;S08;S09;S12;S13;S14;S15;S16;S18;S19;S21;S23;S24;S25;S61;S27;S28;S29;S30;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S59,0.4960863495510203,0.31697964985784827,0.5200661903928726
36,36,53,S71;S70;S01;S02;S03;S05;S07;S08;S09;S10;S13;S14;S15;S16;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S38;S39;S40;S41;S43;S42;S44;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.5160104875284766,0.2673061400549218,0.4335345071470803
37,37,53,S71;S70;S65;S01;S02;S03;S05;S07;S08;S09;S11;S13;S14;S16;S18;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S44;S45;S63;S47;S48;S50;S51;S64;S52;S53;S55;S56;S57;S58;S59;S60,0.4949492870227441,0.2774847022616144,0.5212618920454278
38,38,53,S71;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S34;S35;S36;S39;S40;S43;S42;S44;S45;S46;S62;S63;S49;S50;S64;S52;S53;S54;S56;S57;S60,0.5190129693209428,0.2611326637739539,0.4557366906489195
