no_below,no_above,k,vocab_size,total_tokens,mean_tokens_per_doc,median_tokens_per_doc,min_tokens_per_doc,max_tokens_per_doc,n_empty_docs,mean_c_v,mean_c_npmi,stability_js_similarity,mean_topic_diversity,mean_topic_redundancy_jaccard,mean_thin_topic_count_lt3,mean_zero_dominance_topic_count
4,1.0,15,541,11454,173.54545454545453,103.0,37,2901,0,0.42009615068836814,-0.0809719690682779,0.5589793186263373,0.4846666666666667,0.13782231832301914,7.8,2.0
5,0.5,5,397,8044,121.87878787878788,70.0,27,2041,0,0.3929698609570046,-0.10940404214974535,0.6610882198615495,0.766,0.08474832524368128,0.2,0.0
5,0.5,10,397,8044,121.87878787878788,70.0,27,2041,0,0.38137037734628876,-0.14224648222008854,0.566305386866071,0.63,0.07367269979241083,1.2,0.0
5,0.5,15,397,8044,121.87878787878788,70.0,27,2041,0,0.3752720338298383,-0.15583341181885468,0.5009937112774889,0.5673333333333334,0.06626721692179455,4.0,0.2
5,0.6,5,400,8473,128.37878787878788,72.5,29,2220,0,0.39033563515885694,-0.09416316278861195,0.6349355862117074,0.72,0.11105080893700517,0.2,0.0
5,0.6,10,400,8473,128.37878787878788,72.5,29,2220,0,0.39465859416389026,-0.11841275245315466,0.5383820539396692,0.6279999999999999,0.08420516304933229,1.4,0.0
5,0.6,15,400,8473,128.37878787878788,72.5,29,2220,0,0.37211123475758884,-0.13605932122600123,0.5090829449798306,0.5346666666666666,0.08002872035320327,5.4,1.0
5,0.7,5,404,9020,136.66666666666666,80.5,30,2306,0,0.4336842923652955,-0.04980391428493548,0.6787789362949777,0.684,0.14370538493278928,0.2,0.0
5,0.7,10,404,9020,136.66666666666666,80.5,30,2306,0,0.4046287706859128,-0.08144211033206156,0.557691308076852,0.559,0.12091658444165701,2.0,0.2
5,0.7,15,404,9020,136.66666666666666,80.5,30,2306,0,0.399179662815152,-0.10220625641843657,0.5067144812210085,0.524,0.10162193789577698,4.4,0.6
5,0.75,5,406,9493,143.83333333333334,85.0,30,2427,0,0.4447824615242859,-0.04777560388407327,0.6439448498102607,0.686,0.14396486837962916,0.6,0.0
5,0.75,10,406,9493,143.83333333333334,85.0,30,2427,0,0.42418350582214365,-0.06791581684279765,0.5453099515399468,0.553,0.1331602347298379,2.2,0.2
5,0.75,15,406,9493,143.83333333333334,85.0,30,2427,0,0.40219407896869974,-0.10075608701882759,0.5456629633749436,0.5086666666666666,0.1121366702478351,6.0,2.0
5,0.8,5,409,10059,152.4090909090909,90.5,33,2577,0,0.4609320777667863,-0.026032387050329498,0.6576685452617376,0.63,0.1901220576627031,0.6,0.0
5,0.8,10,409,10059,152.4090909090909,90.5,33,2577,0,0.437657691742111,-0.045865360036676114,0.5695836969424442,0.5090000000000001,0.1685217911182471,2.6,0.6
5,0.8,15,409,10059,152.4090909090909,90.5,33,2577,0,0.4308772546485399,-0.08938029536841822,0.5594335255188329,0.48533333333333334,0.13154792601502355,6.2,1.8
5,0.85,5,409,10059,152.4090909090909,90.5,33,2577,0,0.4609320777667863,-0.026032387050329498,0.6576685452617376,0.63,0.1901220576627031,0.6,0.0
5,0.85,10,409,10059,152.4090909090909,90.5,33,2577,0,0.437657691742111,-0.045865360036676114,0.5695836969424442,0.5090000000000001,0.1685217911182471,2.6,0.6
5,0.85,15,409,10059,152.4090909090909,90.5,33,2577,0,0.4308772546485399,-0.08938029536841822,0.5594335255188329,0.48533333333333334,0.13154792601502355,6.2,1.8
5,0.9,5,409,10059,152.4090909090909,90.5,33,2577,0,0.4609320777667863,-0.026032387050329498,0.6576685452617376,0.63,0.1901220576627031,0.6,0.0
5,0.9,10,409,10059,152.4090909090909,90.5,33,2577,0,0.437657691742111,-0.045865360036676114,0.5695836969424442,0.5090000000000001,0.1685217911182471,2.6,0.6
5,0.9,15,409,10059,152.4090909090909,90.5,33,2577,0,0.4308772546485399,-0.08938029536841822,0.5594335255188329,0.48533333333333334,0.13154792601502355,6.2,1.8
5,0.95,5,410,10703,162.16666666666666,95.0,34,2763,0,0.4685737223124601,-0.022922134953433003,0.6618639521087716,0.594,0.22166068222224528,0.6,0.0
5,0.95,10,410,10703,162.16666666666666,95.0,34,2763,0,0.45143884469352635,-0.04111290186913843,0.5468603142539168,0.502,0.18418953202737948,3.8,0.6
5,0.95,15,410,10703,162.16666666666666,95.0,34,2763,0,0.4352739832395024,-0.08789653886853839,0.5676099494322606,0.45600000000000007,0.1507158649699675,7.8,2.2
5,1.0,5,410,10703,162.16666666666666,95.0,34,2763,0,0.4685737223124601,-0.022922134953433003,0.6618639521087716,0.594,0.22166068222224528,0.6,0.0
5,1.0,10,410,10703,162.16666666666666,95.0,34,2763,0,0.45143884469352635,-0.04111290186913843,0.5468603142539168,0.502,0.18418953202737948,3.8,0.6
5,1.0,15,410,10703,162.16666666666666,95.0,34,2763,0,0.4352739832395024,-0.08789653886853839,0.5676099494322606,0.45600000000000007,0.1507158649699675,7.8,2.2
