rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
28,28,53,S71;S66;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S18;S19;S20;S22;S23;S24;S61;S26;S28;S29;S30;S33;S34;S35;S36;S38;S39;S41;S44;S45;S46;S62;S47;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S59;S60,0.5143564686756147,0.07687985766457534,0.17715190554979793
29,29,53,S66;S70;S65;S01;S02;S03;S05;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S41;S43;S42;S44;S45;S47;S49;S51;S52;S53;S54;S55;S57;S58;S59;S60,0.6522672035341062,0.23280277647800662,0.27932915885118464
30,30,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S11;S13;S14;S15;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S38;S39;S41;S43;S42;S46;S62;S63;S47;S48;S49;S50;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.6418715861409108,0.09382149894038881,0.16859673820730234
31,31,53,S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S11;S12;S15;S16;S17;S19;S21;S23;S24;S25;S61;S28;S29;S30;S31;S32;S33;S34;S35;S36;S40;S41;S42;S44;S45;S46;S62;S47;S48;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.59522340352462,0.12788461301674314,0.20834426606469345
32,32,53,S71;S66;S70;S65;S02;S03;S05;S06;S07;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S21;S24;S25;S61;S27;S28;S29;S30;S31;S32;S35;S36;S38;S40;S41;S43;S42;S44;S46;S62;S63;S47;S48;S51;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.51096590586582,0.12959567330663338,0.17544604776865744
33,33,53,S71;S70;S65;S01;S03;S05;S06;S07;S08;S09;S13;S14;S15;S16;S17;S18;S19;S20;S21;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S35;S36;S38;S39;S41;S42;S44;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S58;S59,0.6504420932493955,0.08803353744615781,0.20174351010338068
34,34,53,S71;S66;S70;S65;S01;S02;S03;S05;S07;S08;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S36;S38;S39;S40;S41;S42;S45;S46;S62;S63;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S59,0.639683877741256,0.12570616909319818,0.26499033156257595
35,35,53,S71;S66;S70;S65;S01;S02;S03;S07;S08;S09;S12;S13;S14;S15;S16;S18;S19;S21;S23;S24;S25;S61;S27;S28;S29;S30;S33;S34;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S54;S55;S56;S57;S59,0.5824623087017928,0.11976058736141856,0.2226074660217051
36,36,53,S71;S70;S01;S02;S03;S05;S07;S08;S09;S10;S13;S14;S15;S16;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S38;S39;S40;S41;S43;S42;S44;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S58;S59;S60,0.6001813630456939,0.06337098146025623,0.20248267166628753
37,37,53,S71;S70;S65;S01;S02;S03;S05;S07;S08;S09;S11;S13;S14;S16;S18;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S40;S41;S44;S45;S63;S47;S48;S50;S51;S64;S52;S53;S55;S56;S57;S58;S59;S60,0.5813882964596754,0.1149913363682152,0.2362144322221118
38,38,53,S71;S70;S65;S01;S02;S03;S06;S07;S08;S09;S10;S11;S12;S13;S14;S15;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S34;S35;S36;S39;S40;S43;S42;S44;S45;S46;S62;S63;S49;S50;S64;S52;S53;S54;S56;S57;S60,0.6226272640289577,0.13241929243969572,0.22008164665561927
