k,seed,c_v,c_npmi,c_umass,topic_diversity,mean_top20_jaccard,mean_cosine_redundancy,mean_js_distance_redundancy,n_topics_0_studies,n_topics_1_study,n_topics_lt3_studies,n_topics_lt5_studies,margin_mean,prop_conf_lt_0.40,prop_conf_0.40_0.60,prop_conf_gt_0.60,model_path
9,3,0.3927291630814546,-0.14012089199630456,-1.51201264489097,0.6555555555555556,0.0701153245012894,0.3377556639413039,0.6624351046511587,0,0,2,4,0.6103746890349805,0.07575757575757576,0.25757575757575757,0.6666666666666666,models\metadata\k09_seed03.model
9,4,0.38468861138751526,-0.13024321166091135,-1.6473641723768517,0.6722222222222223,0.07324836659201986,0.35532546374532914,0.6525844249210062,0,0,2,3,0.6053276167017017,0.045454545454545456,0.25757575757575757,0.696969696969697,models\metadata\k09_seed04.model
9,5,0.40114723570354727,-0.12303883341085878,-1.6991622873493355,0.6611111111111111,0.06994363134714011,0.34461800588501823,0.6712501060074578,0,1,1,3,0.6273222562998523,0.045454545454545456,0.24242424242424243,0.7121212121212122,models\metadata\k09_seed05.model
9,6,0.4278037192559293,-0.12599520178431228,-1.689612991902641,0.6777777777777778,0.061472271291173386,0.3227074436015553,0.6716131187786359,0,0,0,4,0.6247921503805959,0.07575757575757576,0.25757575757575757,0.6666666666666666,models\metadata\k09_seed06.model
9,7,0.39283958811242986,-0.14656597178117584,-1.773402913421016,0.6722222222222223,0.06543104324322074,0.343436300340626,0.6635252057812968,0,0,2,6,0.7376010674785599,0.0,0.16666666666666666,0.8333333333333334,models\metadata\k09_seed07.model
9,8,0.3798877215467372,-0.14260575182693225,-1.6113484724867446,0.7111111111111111,0.05992067834173097,0.29177819109625286,0.6677807431723353,0,1,1,4,0.7085579162880039,0.045454545454545456,0.10606060606060606,0.8484848484848485,models\metadata\k09_seed08.model
9,9,0.36853210207116005,-0.17271992522805588,-2.656479132222335,0.6777777777777778,0.061745482540116185,0.3959771231230762,0.6079682969338572,1,1,2,2,0.5869528706859704,0.045454545454545456,0.24242424242424243,0.7121212121212122,models\metadata\k09_seed09.model
9,10,0.3816611537391018,-0.15158129401626025,-1.4140034274158213,0.7,0.058979435656422226,0.3388365296026071,0.6420435071909221,0,1,3,5,0.7067442089549358,0.030303030303030304,0.21212121212121213,0.7575757575757576,models\metadata\k09_seed10.model
9,11,0.39795306868069236,-0.13844131324499825,-1.4982113572808309,0.7055555555555556,0.05645878427096177,0.29315043716794914,0.6780691193571992,0,1,3,4,0.5941737966468557,0.030303030303030304,0.2878787878787879,0.6818181818181818,models\metadata\k09_seed11.model
9,12,0.3769041249331429,-0.14215185657172488,-1.5498869293481132,0.6555555555555556,0.07150118966424436,0.34888189079033005,0.6606457100963427,0,0,2,3,0.6539422399428352,0.09090909090909091,0.15151515151515152,0.7575757575757576,models\metadata\k09_seed12.model
9,13,0.38568756790047565,-0.17186157295665203,-2.480079633672526,0.7166666666666667,0.06313959384134822,0.4024939445985688,0.6156444970036388,1,0,1,3,0.6738133017762734,0.045454545454545456,0.18181818181818182,0.7727272727272727,models\metadata\k09_seed13.model
9,14,0.39083363877864374,-0.144088398510487,-1.715021520453715,0.6666666666666666,0.06891808072148631,0.34826041137178737,0.6550626321146962,0,0,1,2,0.734872001128155,0.030303030303030304,0.13636363636363635,0.8333333333333334,models\metadata\k09_seed14.model
9,15,0.4091736248498872,-0.12548476443015122,-1.6080477107684084,0.6833333333333333,0.05943022500040044,0.31781673141651684,0.6739102195991571,0,0,1,5,0.5918334267217054,0.0,0.3484848484848485,0.6515151515151515,models\metadata\k09_seed15.model
9,16,0.37105505253950305,-0.1463324438002364,-1.8276492329402214,0.6777777777777778,0.0610502143009883,0.33618012360400623,0.652480956977763,0,0,1,5,0.6572256994941474,0.015151515151515152,0.21212121212121213,0.7727272727272727,models\metadata\k09_seed16.model
9,17,0.35276261731890185,-0.17684288986161492,-2.538860985810215,0.7055555555555556,0.05290561430912308,0.3566728126671579,0.6260545819604157,1,0,2,4,0.7029090185287163,0.030303030303030304,0.18181818181818182,0.7878787878787878,models\metadata\k09_seed17.model
9,18,0.4155446265805285,-0.15242840628178053,-2.009803343662559,0.7055555555555556,0.05735435534197143,0.2951653169261085,0.6941309747807954,0,0,1,2,0.540199483554633,0.10606060606060606,0.2878787878787879,0.6060606060606061,models\metadata\k09_seed18.model
9,19,0.39085015868014333,-0.11706284474685982,-1.465859714463266,0.6444444444444445,0.07421125351981905,0.3342625635365645,0.6583705654089739,0,0,1,4,0.6434901853150002,0.030303030303030304,0.25757575757575757,0.7121212121212122,models\metadata\k09_seed19.model
10,0,0.4183678895981916,-0.12914382013264059,-1.5042011619679063,0.66,0.0656292441638159,0.33390765885512036,0.6736320029477654,0,1,1,2,0.6333065512162372,0.015151515151515152,0.24242424242424243,0.7424242424242424,models\metadata\k10_seed00.model
10,1,0.3623268606031233,-0.16251996552932096,-1.9228401594238822,0.65,0.06645216758735849,0.33432762490378487,0.6611660144235678,0,0,0,5,0.696204117111103,0.045454545454545456,0.13636363636363635,0.8181818181818182,models\metadata\k10_seed01.model
10,2,0.38332402121555564,-0.14466748991608394,-1.5278000729579637,0.64,0.06452604238981947,0.34765726526578267,0.6504717418163318,0,2,2,2,0.7028206313490514,0.030303030303030304,0.19696969696969696,0.7727272727272727,models\metadata\k10_seed02.model
